team,lineup,minutes,goals_for,goals_against,stints,net_goals,net_per_min,gf_per_min,ga_per_min
Argentina,"('Argentina_p10', 'Argentina_p11', 'Argentina_p12', 'Argentina_p9')",28.297163129,45,35,9,10,0.35339231549157035,1.5902654197120665,1.2368731042204961
Argentina,"('Argentina_p1', 'Argentina_p12', 'Argentina_p4', 'Argentina_p8')",26.837049994,41,34,11,7,0.2608334374145072,1.5277387048563993,1.2669052674418921
Argentina,"('Argentina_p1', 'Argentina_p3', 'Argentina_p7', 'Argentina_p9')",22.099629692,29,24,10,5,0.22624813490924622,1.3122391824736281,1.085991047564382
Argentina,"('Argentina_p10', 'Argentina_p3', 'Argentina_p8', 'Argentina_p9')",20.800749265,31,28,6,3,0.14422557388583568,1.4903309301536354,1.3461053562677998
Argentina,"('Argentina_p10', 'Argentina_p11', 'Argentina_p3', 'Argentina_p8')",22.279293935,25,23,8,2,0.08976945166372931,1.1221181457966165,1.0323486941328872
Argentina,"('Argentina_p10', 'Argentina_p11', 'Argentina_p3', 'Argentina_p7')",28.877307186000003,43,42,8,1,0.034629267665400934,1.4890585096122402,1.4544292419468394
Argentina,"('Argentina_p1', 'Argentina_p11', 'Argentina_p3', 'Argentina_p4')",21.715208717,29,29,10,0,0.0,1.3354695493807074,1.3354695493807074
Argentina,"('Argentina_p1', 'Argentina_p11', 'Argentina_p4', 'Argentina_p6')",32.309969989,43,43,11,0,0.0,1.3308585558773172,1.3308585558773172
Argentina,"('Argentina_p10', 'Argentina_p12', 'Argentina_p3', 'Argentina_p8')",27.495727891999998,40,40,9,0,0.0,1.4547714523912705,1.4547714523912705
Argentina,"('Argentina_p10', 'Argentina_p12', 'Argentina_p8', 'Argentina_p9')",20.768567999,34,34,10,0,0.0,1.6370892784537234,1.6370892784537234
Brazil,"('Brazil_p1', 'Brazil_p4', 'Brazil_p5', 'Brazil_p8')",44.136182021,111,39,14,72,1.6313146426154936,2.514943407365553,0.8836287647500591
Brazil,"('Brazil_p1', 'Brazil_p10', 'Brazil_p12', 'Brazil_p5')",30.229534765,61,25,10,36,1.1908883242781854,2.0178941050269255,0.8270057807487399
Brazil,"('Brazil_p12', 'Brazil_p4', 'Brazil_p5', 'Brazil_p7')",38.529851501,92,54,11,38,0.986248285930034,2.387759008041135,1.401510722111101
Brazil,"('Brazil_p1', 'Brazil_p2', 'Brazil_p5', 'Brazil_p8')",31.251036193999997,61,33,10,28,0.8959702912307216,1.9519352773240721,1.0559649860933504
Brazil,"('Brazil_p1', 'Brazil_p10', 'Brazil_p2', 'Brazil_p8')",29.541971315,62,36,9,26,0.8801037589119329,2.0987089635592246,1.2186052046472917
Brazil,"('Brazil_p1', 'Brazil_p11', 'Brazil_p4', 'Brazil_p5')",43.986881493,95,57,18,38,0.8638939317861681,2.15973482946542,1.2958408976792521
Brazil,"('Brazil_p1', 'Brazil_p11', 'Brazil_p4', 'Brazil_p7')",23.949314041,47,27,6,20,0.8350969871521591,1.9624779198075737,1.1273809326554147
Brazil,"('Brazil_p1', 'Brazil_p5', 'Brazil_p6', 'Brazil_p7')",20.498786357,36,19,11,17,0.8293173900119594,1.7562015317900315,0.9268841417780722
Brazil,"('Brazil_p1', 'Brazil_p4', 'Brazil_p7', 'Brazil_p9')",28.536159572,55,33,10,22,0.7709516742956066,1.9273791857390166,1.15642751144341
Brazil,"('Brazil_p1', 'Brazil_p12', 'Brazil_p2', 'Brazil_p5')",23.438934564,39,21,11,18,0.7679529950839279,1.663898156015177,0.8959451609312492
Canada,"('Canada_p2', 'Canada_p6', 'Canada_p8', 'Canada_p9')",33.096246117,70,29,10,41,1.2388111888900961,2.1150434932269935,0.8762323043368974
Canada,"('Canada_p2', 'Canada_p3', 'Canada_p8', 'Canada_p9')",22.099113435,45,20,6,25,1.1312671014397189,2.036280782591494,0.9050136811517752
Canada,"('Canada_p10', 'Canada_p12', 'Canada_p3', 'Canada_p5')",30.30462518,67,38,10,29,0.9569496348411857,2.210883639115843,1.2539340042746572
Canada,"('Canada_p10', 'Canada_p11', 'Canada_p3', 'Canada_p9')",37.165877128,74,39,13,35,0.9417240410998327,1.991073686896789,1.0493496457969564
Canada,"('Canada_p2', 'Canada_p3', 'Canada_p4', 'Canada_p8')",34.264086707000004,65,35,9,30,0.8755523022264338,1.8970299881572732,1.0214776859308394
Canada,"('Canada_p10', 'Canada_p11', 'Canada_p12', 'Canada_p5')",21.811809015,49,30,9,19,0.8710877665824821,2.2464895032916643,1.3754017367091822
