team,lineup,minutes,goals_for,goals_against,stints,net_goals,net_per_min,gf_per_min,ga_per_min
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p11', 'Argentina_p12')",14.198659564,16,27,5,-11,-0.7747210185875544,1.1268669361273518,1.9015879547149062
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p11', 'Argentina_p3')",27.035744059000002,28,50,11,-22,-0.8137375450806711,1.0356659664663086,1.8494035115469798
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p11', 'Argentina_p6')",19.37047395,36,28,9,8,0.41299970360301896,1.8584986662135852,1.4454989626105663
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p11', 'Argentina_p7')",17.033580437,23,27,7,-4,-0.23483025279355127,1.3502739535629198,1.585104206356471
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p11', 'Argentina_p9')",32.015910792,25,55,11,-30,-0.9370340951692142,0.7808617459743452,1.7178958411435594
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p12', 'Argentina_p2')",30.242929447999998,26,53,11,-27,-0.8927706572349109,0.8597050773373216,1.7524757345722326
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p12', 'Argentina_p8')",15.771597349,32,39,6,-7,-0.4438358300114627,2.0289637943381154,2.472799624349578
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p2', 'Argentina_p3')",14.973542227,18,30,6,-12,-0.801413574562326,1.2021203618434888,2.0035339364058147
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p2', 'Argentina_p6')",8.878873186,11,23,4,-12,-1.3515228507736003,1.2388959465424672,2.5904187973160675
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p2', 'Argentina_p7')",10.543465903000001,19,12,4,7,0.6639183039429419,1.8020639678451282,1.1381456639021863
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p2', 'Argentina_p9')",18.199923895,19,39,7,-20,-1.0989056940779036,1.0439604093740085,2.142866103451912
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p3', 'Argentina_p8')",27.42027688,33,47,8,-14,-0.5105710661226555,1.2034889415748307,1.7140600076974861
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p4', 'Argentina_p5')",33.028748029,25,66,9,-41,-1.2413428436343108,0.7569163680697018,1.9982592117040126
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p6', 'Argentina_p8')",15.267830489000001,17,28,5,-11,-0.7204690940160201,1.1134522362065764,1.8339213302225965
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p7', 'Argentina_p8')",16.634734116,25,20,6,5,0.3005758892888336,1.5028794464441682,1.2023035571553344
Argentina,"('Argentina_p1', 'Argentina_p10', 'Argentina_p8', 'Argentina_p9')",25.538430661,30,52,10,-22,-0.8614468246710408,1.1747002154605102,2.036147040131551
Argentina,"('Argentina_p1', 'Argentina_p11', 'Argentina_p12', 'Argentina_p4')",18.863507941,15,31,8,-16,-0.8481985455750708,0.7951861364766288,1.6433846820516997
Argentina,"('Argentina_p1', 'Argentina_p11', 'Argentina_p2', 'Argentina_p4')",13.784108745,8,27,4,-19,-1.3783988759441552,0.5803784740817496,1.958777350025905
Argentina,"('Argentina_p1', 'Argentina_p11', 'Argentina_p3', 'Argentina_p4')",21.715208717,29,29,10,0,0.0,1.3354695493807074,1.3354695493807074
Argentina,"('Argentina_p1', 'Argentina_p11', 'Argentina_p4', 'Argentina_p6')",32.309969989,43,43,11,0,0.0,1.3308585558773172,1.3308585558773172
Argentina,"('Argentina_p1', 'Argentina_p11', 'Argentina_p4', 'Argentina_p7')",30.943592386,46,56,9,-10,-0.32316868304290236,1.4865759419973508,1.8097446250402531
Argentina,"('Argentina_p1', 'Argentina_p11', 'Argentina_p4', 'Argentina_p8')",31.214914355,28,57,9,-29,-0.9290430744159573,0.8970071063326485,1.8260501807486058
Argentina,"('Argentina_p1', 'Argentina_p11', 'Argentina_p4', 'Argentina_p9')",8.0681226,11,16,2,-5,-0.6197228584503661,1.3633902885908054,1.9831131470411716
Argentina,"('Argentina_p1', 'Argentina_p12', 'Argentina_p2', 'Argentina_p4')",24.24193469,27,37,8,-10,-0.41250833020868927,1.113772491563461,1.5262808217721504
Argentina,"('Argentina_p1', 'Argentina_p12', 'Argentina_p3', 'Argentina_p6')",29.625749924,33,53,11,-20,-0.6750883961184685,1.113895853595473,1.7889842497139414
Argentina,"('Argentina_p1', 'Argentina_p12', 'Argentina_p3', 'Argentina_p7')",6.345961512,12,8,3,4,0.6303221336019978,1.8909664008059934,1.2606442672039957
Argentina,"('Argentina_p1', 'Argentina_p12', 'Argentina_p3', 'Argentina_p9')",37.914469044,49,67,9,-18,-0.4747527910548049,1.2923825978714132,1.7671353889262182
Argentina,"('Argentina_p1', 'Argentina_p12', 'Argentina_p4', 'Argentina_p5')",18.953510950000002,15,37,7,-22,-1.1607348136203757,0.7914101001957107,1.9521449138160862
Argentina,"('Argentina_p1', 'Argentina_p12', 'Argentina_p4', 'Argentina_p8')",26.837049994,41,34,11,7,0.2608334374145072,1.5277387048563993,1.2669052674418921
Argentina,"('Argentina_p1', 'Argentina_p12', 'Argentina_p6', 'Argentina_p7')",14.200411216000001,19,26,4,-7,-0.49294347139137096,1.3379894223480069,1.8309328937393778
Argentina,"('Argentina_p1', 'Argentina_p12', 'Argentina_p6', 'Argentina_p9')",16.758019036,20,32,6,-12,-0.7160750906310165,1.1934584843850276,1.909533575016044
Argentina,"('Argentina_p1', 'Argentina_p12', 'Argentina_p7', 'Argentina_p9')",20.229550782,16,27,8,-11,-0.5437589849888146,0.7909221599837303,1.3346811449725449
Argentina,"('Argentina_p1', 'Argentina_p2', 'Argentina_p3', 'Argentina_p4')",14.760495245,12,26,4,-14,-0.948477660649116,0.8129808519849566,1.7614585126340725
Argentina,"('Argentina_p1', 'Argentina_p2', 'Argentina_p4', 'Argentina_p6')",29.226580806999998,34,57,7,-23,-0.786954866594977,1.1633245854012704,1.9502794519962474
Argentina,"('Argentina_p1', 'Argentina_p2', 'Argentina_p4', 'Argentina_p7')",12.081456088,13,20,5,-7,-0.5794003594444882,1.0760292389683352,1.6554295984128233
Argentina,"('Argentina_p1', 'Argentina_p2', 'Argentina_p4', 'Argentina_p8')",14.372068926,15,24,2,-9,-0.626214642188253,1.043691070313755,1.669905712502008
Argentina,"('Argentina_p1', 'Argentina_p2', 'Argentina_p4', 'Argentina_p9')",20.778124708,15,22,8,-7,-0.33689277056388334,0.72191307977975,1.0588058503436335
Argentina,"('Argentina_p1', 'Argentina_p3', 'Argentina_p4', 'Argentina_p5')",35.841471458,44,55,11,-11,-0.3069070423877573,1.2276281695510292,1.5345352119387865
Argentina,"('Argentina_p1', 'Argentina_p3', 'Argentina_p4', 'Argentina_p8')",20.598425344000002,25,33,9,-8,-0.3883792021184898,1.2136850066202807,1.6020642087387704
Argentina,"('Argentina_p1', 'Argentina_p3', 'Argentina_p6', 'Argentina_p7')",23.783004889,28,40,8,-12,-0.5045619784382327,1.1773112830225427,1.6818732614607754
Argentina,"('Argentina_p1', 'Argentina_p3', 'Argentina_p6', 'Argentina_p9')",28.275497856,29,64,9,-35,-1.237820822050462,1.0256229668418115,2.2634437888922734
Argentina,"('Argentina_p1', 'Argentina_p3', 'Argentina_p7', 'Argentina_p9')",22.099629692,29,24,10,5,0.22624813490924622,1.3122391824736281,1.085991047564382
Argentina,"('Argentina_p1', 'Argentina_p4', 'Argentina_p5', 'Argentina_p6')",20.194868656,17,40,7,-23,-1.13890317346365,0.8417979977774805,1.9807011712411307
Argentina,"('Argentina_p1', 'Argentina_p4', 'Argentina_p5', 'Argentina_p7')",27.957195332999998,30,62,7,-32,-1.1446069471148979,1.0730690129202167,2.217675960035115
Argentina,"('Argentina_p1', 'Argentina_p4', 'Argentina_p5', 'Argentina_p9')",30.522617708,30,58,11,-28,-0.9173525111072365,0.982877690472039,1.9002302015792754
Argentina,"('Argentina_p1', 'Argentina_p4', 'Argentina_p6', 'Argentina_p8')",40.439625628,53,67,11,-14,-0.3461950941085502,1.31059571341094,1.6567908075194904
